state,Location,Lat,Long,Intersting 
AL,Detroit,34.010874,-88.16063,17
AL,Double Springs,34.138682,-87.397431,6
AL,Eldridge,33.931546,-87.619397,23
AL,Fayette,33.697397,-87.834647,24
AL,Guin,33.967624,-87.90238,2
AL,Hackleburg,34.267803,-87.860762,22
AL,Haleyville,34.231423,-87.593811,19
AL,Hamilton,34.153413,-88.008521,30
AL,Hodges,34.341664,-87.959023,10
AL,Houston,34.118042,-87.26183,21
AL,Kennedy,33.574964,-88.05172,15
AL,Lynn,34.052984,-87.539814,24
AL,Millport,33.54013,-88.200003,21
AL,Nauvoo,33.929859,-87.432449,2
AL,Oakman,33.700174,-87.368574,10
AL,Parrish,33.721307,-87.265773,20
AL,Phil Campbell,34.347018,-87.715431,19
AL,Red Bay,34.451259,-88.112914,30
AL,Spruce Pine,34.384796,-87.712149,5
AL,Sulligent,33.8549,-88.150774,26
AL,Townley,33.84702,-87.437248,6
AL,Vernon,33.761285,-88.097919,1
AL,Vina,34.37116,-88.077422,2
AL,Winfield,33.930256,-87.79716,5
AL,Decatur,34.589599,-86.98868,30
AL,Decatur,34.548417,-87.000389,24
AL,Anderson,34.951777,-87.272327,6
AL,Athens,34.803604,-86.970733,16
AL,Cherokee,34.744188,-87.972445,2
AL,Courtland,34.671866,-87.314255,25
AL,Danville,34.452189,-87.053187,19
AL,Elkmont,34.915241,-86.910452,29
AL,Eva,34.347778,-86.704427,12
AL,Falkville,34.347653,-86.913086,2
AL,Florence,34.830547,-87.655985,1
AL,Florence,34.882471,-87.739778,7
AL,Hartselle,34.448206,-86.924235,9
AL,Hillsboro,34.64763,-87.180379,6
AL,Killen,34.901632,-87.508185,23
AL,Leighton,34.710982,-87.522133,30
AL,Lester,34.918364,-87.143396,19
AL,Lexington,34.955924,-87.393519,13
AL,Moulton,34.505836,-87.222385,2
AL,Mount Hope,34.462969,-87.451453,19
AL,Rogersville,34.849544,-87.323671,13
AL,Russellville,34.506568,-87.725726,8
AL,Sheffield,34.757829,-87.697057,29
AL,Muscle Shoals,34.756136,-87.630443,28
AL,Somerville,34.499548,-86.800931,20
AL,Tanner,34.713037,-86.989152,17
AL,Town Creek,34.649138,-87.426195,1
AL,Trinity,34.591771,-87.09127,9
AL,Tuscumbia,34.687432,-87.683259,16
AL,Waterloo,34.93568,-87.962412,27
AL,Ardmore,34.980447,-86.834612,28
AL,Bridgeport,34.944638,-85.727681,10
AL,Brownsboro,34.716733,-86.468703,26
AL,Dutton,34.604558,-85.906729,6
AL,Estillfork,34.913017,-86.171571,25
AL,Fackler,34.82589,-85.984648,24
AL,Grant,34.495902,-86.259041,4
AL,Gurley,34.713964,-86.394028,22
AL,Harvest,34.82732,-86.749929,11
AL,Hazel Green,34.949627,-86.593484,2
AL,Hollytree,34.798979,-86.233627,22
AL,Hollywood,34.730428,-85.953173,17
AL,Laceys Spring,34.499647,-86.612869,9
AL,Langston,34.497831,-86.10563,13
AL,Triana,34.713409,-86.750951,8
AL,Meridianville,34.861779,-86.578879,21
AL,New Hope,34.549445,-86.3961,19
